#Date, time, sensornum, avgWatts
2015 01 31, 21:36, 1, 832.15917181
2015 01 31, 21:36, 1, 831.485485732
2015 01 31, 21:36, 1, 829.965835933
2015 01 31, 21:36, 1, 819.318066866
2015 01 31, 21:36, 1, 818.959964463
2015 01 31, 21:36, 1, 794.454050874
2015 01 31, 21:36, 1, 784.978032799
2015 01 31, 21:36, 1, 779.455248408
2015 01 31, 21:37, 1, 779.268896399
2015 01 31, 21:38, 1, 723.150470645
2015 01 31, 21:38, 1, 722.893351812
2015 01 31, 21:38, 1, 722.650921659
2015 01 31, 21:38, 1, 722.359357877
2015 01 31, 21:38, 1, 720.77376526
2015 01 31, 21:38, 1, 717.730758606
2015 01 31, 21:38, 1, 717.351818773
2015 01 31, 21:38, 1, 716.016563085
2015 01 31, 21:38, 1, 714.318663793
2015 01 31, 21:38, 1, 712.783998891
2015 01 31, 21:38, 1, 707.643414123
2015 01 31, 21:38, 1, 703.58066499
2015 01 31, 21:38, 1, 703.309508975
2015 01 31, 21:38, 1, 702.49467126
2015 01 31, 21:38, 1, 702.2146074
2015 01 31, 21:38, 1, 698.19414579
2015 01 31, 21:38, 1, 697.914237088
2015 01 31, 21:38, 1, 697.629074195
2015 01 31, 21:38, 1, 697.345952773
2015 01 31, 21:38, 1, 697.083020857
2015 01 31, 21:38, 1, 696.186095023
2015 01 31, 21:38, 1, 694.747869814
2015 01 31, 21:38, 1, 693.274425758
2015 01 31, 21:38, 1, 691.653081522
2015 01 31, 21:38, 1, 690.006258253
2015 01 31, 21:38, 1, 688.830771919
2015 01 31, 21:38, 1, 687.41096346
2015 01 31, 21:39, 1, 682.140349331
2015 01 31, 21:40, 1, 642.427975467
2015 01 31, 21:40, 1, 641.176013399
2015 01 31, 21:40, 1, 640.048803098
2015 01 31, 21:40, 1, 638.777766249
2015 01 31, 21:40, 1, 637.271219414
2015 01 31, 21:40, 1, 636.131603926
2015 01 31, 21:40, 1, 634.902414546
2015 01 31, 21:40, 1, 633.634171529
2015 01 31, 21:40, 1, 632.409046612
2015 01 31, 21:40, 1, 631.111164082
2015 01 31, 21:40, 1, 630.099632956
2015 01 31, 21:40, 1, 628.927040017
2015 01 31, 21:40, 1, 627.696800058
2015 01 31, 21:40, 1, 626.379334038
2015 01 31, 21:40, 1, 625.182047944
2015 01 31, 21:40, 1, 623.791727248
2015 01 31, 21:40, 1, 622.768577878
2015 01 31, 21:40, 1, 621.704923259
2015 01 31, 21:40, 1, 620.101559783
2015 01 31, 21:40, 1, 619.333767158
2015 01 31, 21:40, 1, 618.009884581
2015 01 31, 21:40, 1, 616.988310785
2015 01 31, 21:40, 1, 615.880572019
2015 01 31, 21:40, 1, 614.578906333
2015 01 31, 21:40, 1, 613.594842465
2015 01 31, 21:40, 1, 612.417470368
2015 01 31, 21:40, 1, 611.264903385
2015 01 31, 21:40, 1, 610.005220827
2015 01 31, 21:40, 1, 608.81459809
2015 01 31, 21:41, 1, 607.680611308
2015 01 31, 21:42, 1, 576.03186749
2015 01 31, 21:42, 1, 574.981927824
2015 01 31, 21:42, 1, 574.134884139
2015 01 31, 21:42, 1, 570.584845668
2015 01 31, 21:42, 1, 570.360912967
2015 01 31, 21:42, 1, 567.712328423
2015 01 31, 21:42, 1, 567.18536223
2015 01 31, 21:42, 1, 567.043309105
2015 01 31, 21:42, 1, 566.876772302
2015 01 31, 21:42, 1, 566.589398642
2015 01 31, 21:42, 1, 566.153028654
2015 01 31, 21:42, 1, 565.292384157
2015 01 31, 21:42, 1, 564.302174691
2015 01 31, 21:42, 1, 562.838047518
2015 01 31, 21:42, 1, 562.386715156
2015 01 31, 21:42, 1, 561.439279631
2015 01 31, 21:42, 1, 560.451932466
2015 01 31, 21:42, 1, 559.30891322
2015 01 31, 21:42, 1, 558.556006986
2015 01 31, 21:42, 1, 557.568678148
2015 01 31, 21:42, 1, 556.558379069
2015 01 31, 21:42, 1, 555.651073036
2015 01 31, 21:42, 1, 553.432498824
2015 01 31, 21:42, 1, 553.259398969
2015 01 31, 21:42, 1, 552.396105449
2015 01 31, 21:42, 1, 551.953594967
2015 01 31, 21:42, 1, 551.052696171
2015 01 31, 21:42, 1, 550.006099877
2015 01 31, 21:42, 1, 549.216620545
2015 01 31, 21:43, 1, 548.279592038
2015 01 31, 21:44, 1, 522.071727976
2015 01 31, 21:44, 1, 521.200058549
2015 01 31, 21:44, 1, 520.345682434
2015 01 31, 21:44, 1, 519.458069037
2015 01 31, 21:44, 1, 518.790482785
2015 01 31, 21:44, 1, 517.95260324
2015 01 31, 21:44, 1, 517.122428399
2015 01 31, 21:44, 1, 516.401337987
2015 01 31, 21:44, 1, 515.511338572
2015 01 31, 21:44, 1, 514.696802291
2015 01 31, 21:44, 1, 513.991280161
2015 01 31, 21:44, 1, 513.10957549
2015 01 31, 21:44, 1, 512.44453997
2015 01 31, 21:44, 1, 511.035318738
2015 01 31, 21:44, 1, 510.038115868
2015 01 31, 21:44, 1, 509.313516352
2015 01 31, 21:44, 1, 508.444839249
2015 01 31, 21:44, 1, 507.741140115
2015 01 31, 21:44, 1, 506.852490078
2015 01 31, 21:44, 1, 506.170945327
2015 01 31, 21:44, 1, 505.61575097
2015 01 31, 21:44, 1, 504.676506571
2015 01 31, 21:44, 1, 503.980850797
2015 01 31, 21:44, 1, 503.210191733
2015 01 31, 21:44, 1, 502.459697336
2015 01 31, 21:44, 1, 501.672182616
2015 01 31, 21:44, 1, 500.891974766
2015 01 31, 21:44, 1, 500.234714476
2015 01 31, 21:46, 1, 477.593225384
2015 01 31, 21:46, 1, 477.248443968
2015 01 31, 21:46, 1, 476.683084123
2015 01 31, 21:46, 1, 475.927440978
2015 01 31, 21:46, 1, 474.703659497
2015 01 31, 21:46, 1, 474.596771734
2015 01 31, 21:46, 1, 473.985956973
2015 01 31, 21:46, 1, 473.334171431
2015 01 31, 21:46, 1, 472.594713635
2015 01 31, 21:46, 1, 472.050936455
2015 01 31, 21:46, 1, 471.421452636
2015 01 31, 21:46, 1, 470.674910667
2015 01 31, 21:46, 1, 470.150932507
2015 01 31, 21:46, 1, 469.606311856
2015 01 31, 21:46, 1, 467.216387436
2015 01 31, 21:46, 1, 467.194289312
2015 01 31, 21:46, 1, 466.987515437
2015 01 31, 21:46, 1, 466.868799788
2015 01 31, 21:46, 1, 466.208790447
2015 01 31, 21:46, 1, 465.430815689
2015 01 31, 21:46, 1, 465.042073115
2015 01 31, 21:46, 1, 464.291004698
2015 01 31, 21:46, 1, 463.652112653
2015 01 31, 21:46, 1, 463.094186888
2015 01 31, 21:46, 1, 462.536151321
2015 01 31, 21:46, 1, 461.901866149
2015 01 31, 21:46, 1, 461.215947631
2015 01 31, 21:47, 1, 458.975373062
2015 01 31, 21:48, 1, 441.026574366
2015 01 31, 21:48, 1, 440.259635134
2015 01 31, 21:48, 1, 439.670730924
2015 01 31, 21:48, 1, 439.283611233
2015 01 31, 21:48, 1, 438.724210636
2015 01 31, 21:48, 1, 437.951814496
2015 01 31, 21:48, 1, 437.490534156
2015 01 31, 21:48, 1, 436.921232067
2015 01 31, 21:48, 1, 436.411151359
2015 01 31, 21:48, 1, 435.758412674
2015 01 31, 21:48, 1, 435.257325575
2015 01 31, 21:48, 1, 434.580301642
2015 01 31, 21:48, 1, 434.096551744
2015 01 31, 21:48, 1, 433.445168858
2015 01 31, 21:48, 1, 432.864728778
2015 01 31, 21:48, 1, 432.254803422
2015 01 31, 21:48, 1, 431.737226563
2015 01 31, 21:48, 1, 431.246721758
2015 01 31, 21:48, 1, 430.623976298
2015 01 31, 21:48, 1, 430.14016141
2015 01 31, 21:48, 1, 429.503365201
2015 01 31, 21:48, 1, 428.950435515
2015 01 31, 21:48, 1, 428.466063593
2015 01 31, 21:48, 1, 427.854860442
2015 01 31, 21:48, 1, 427.365039382
2015 01 31, 21:48, 1, 426.818153669
2015 01 31, 21:48, 1, 426.250013739
